GDP per capita (US$)
556.01
512.01
516.68
485.67
494.18
"5,915.85"
"5,943.46"
"62,012.48"
"62,861.64"
"69,774.03"
"79,107.60"
"80,886.62"
"35,808.44"
"37,330.26"
"40,774.13"
"42,063.45"
"43,951.25"
"30,242.39"
"30,960.73"
"32,406.72"
"34,622.17"
"33,673.48"
"4,907.93"
"4,843.75"
"5,070.10"
"5,359.99"
"5,369.50"
"34,960.64"
"39,375.47"
"38,834.05"
"39,727.12"
"40,458.00"
"4,164.11"
"4,175.36"
"4,231.52"
"4,308.15"
"4,405.49"
"10,510.77"
"7,714.84"
"9,247.58"
"9,812.63"
"9,812.60"
"1,464.55"
"1,525.24"
"1,633.49"
"1,794.09"
"1,909.30"
"1,535.16"
"1,586.34"
"1,648.59"
"1,693.95"
"1,512.95"
"29,869.55"
"27,653.16"
"29,759.47"
"33,399.06"
"32,373.25"
"13,786.46"
"14,331.75"
"15,695.12"
"17,865.03"
"17,926.84"
"7,643.01"
"7,617.69"
"7,776.03"
"8,003.83"
"7,527.44"
"1,146.06"
"1,018.78"
"1,102.63"
"1,192.48"
"1,153.39"
721.58
740.91
721.09
710.27
672.34
"7,590.44"
"7,687.88"
"10,205.32"
"11,482.13"
"10,218.04"
"14,263.96"
"15,008.31"
"16,885.41"
"19,186.18"
"19,575.77"
"105,462.01"
"106,899.29"
"110,193.21"
"117,254.74"
"113,218.71"
467.24
475.96
515.29
518.40
526.22
380.60
315.78
506.14
544.59
591.85
"9,955.24"
"9,817.79"
"10,259.30"
"11,380.08"
"11,432.83"
"9,033.41"
"9,209.44"
"9,577.35"
"10,279.08"
"10,561.61"
751.47
780.72
830.02
894.80
879.04
"24,921.60"
"25,624.54"
"28,857.02"
"31,573.12"
"31,185.65"
"3,199.89"
"3,491.00"
"3,672.58"
"3,793.55"
"4,073.11"
"1,524.07"
"1,536.86"
"1,587.86"
"1,669.77"
"1,743.30"
"9,260.45"
"9,681.62"
"10,484.91"
"11,208.34"
"11,097.17"
"9,616.65"
"8,744.52"
"9,287.85"
"9,686.98"
"9,950.22"
"2,732.46"
"2,880.44"
"3,509.69"
"4,230.63"
"4,492.11"
"165,989.51"
"170,028.66"
"167,517.06"
"185,978.61"
"189,487.15"
"3,875.32"
"3,658.39"
"3,687.10"
"4,156.85"
"4,404.85"
"6,517.19"
"7,033.44"
"7,803.36"
"8,850.38"
"8,909.89"
"2,875.26"
"2,896.72"
"3,035.45"
"3,226.98"
"3,235.00"
589.86
428.93
461.41
503.30
506.82
"1,196.74"
"1,136.61"
"1,151.11"
"1,250.17"
"1,271.11"
"4,896.62"
"4,546.99"
"5,367.11"
"5,588.39"
"5,028.30"
"8,341.01"
"9,521.04"
"10,339.39"
"11,614.67"
"11,029.74"
901.75
899.52
"1,048.45"
"1,178.53"
"1,194.96"
"45,193.40"
"46,039.11"
"48,675.22"
"53,044.53"
"52,476.27"
"38,630.73"
"40,058.20"
"42,925.00"
"43,250.44"
"42,865.23"
"2,049.85"
"2,107.57"
"2,159.16"
"2,014.58"
"1,924.47"
484.15
500.21
517.77
570.72
554.10
"2,687.48"
"2,176.00"
"1,968.57"
"2,027.78"
"2,229.86"
"4,861.55"
"5,149.59"
"5,450.49"
"6,108.74"
"6,070.39"
"16,314.38"
"21,891.18"
"27,584.74"
"22,886.67"
"20,659.64"
"74,355.52"
"70,460.56"
"75,496.75"
"82,267.81"
"75,719.75"
"18,444.93"
"16,772.74"
"17,329.19"
"18,947.37"
"17,700.70"
"1,356.67"
"1,540.18"
"1,631.53"
"1,678.04"
"1,481.81"
"15,876.46"
"16,835.99"
"16,019.99"
"15,895.26"
"15,232.49"
"13,630.30"
"14,343.98"
"15,146.41"
"15,545.00"
"15,774.25"
"2,679.35"
"2,509.63"
"2,695.25"
"2,801.37"
"2,820.31"
"5,413.78"
"5,324.61"
"5,678.87"
"5,782.78"
"5,383.57"
"6,229.10"
"6,205.00"
"6,710.51"
"6,958.50"
"7,023.08"
"3,001.04"
"3,073.65"
"3,123.25"
"3,252.11"
"3,485.34"
"12,578.50"
"12,447.44"
"13,864.68"
"15,468.48"
"15,732.20"
"19,250.11"
"19,991.97"
"21,490.43"
"23,562.55"
"23,330.82"
"29,763.49"
"30,627.16"
"31,108.76"
"31,604.70"
"32,850.55"
"63,039.11"
"57,162.97"
"59,124.87"
"65,907.95"
"62,087.97"
"8,969.15"
"9,548.59"
"10,807.01"
"12,398.98"
"12,899.35"
751.11
744.79
772.29
783.81
820.18
"4,073.73"
"4,109.66"
"4,258.98"
"4,187.50"
"4,322.87"
"42,662.90"
"43,828.23"
"45,399.03"
"48,996.59"
"47,727.13"
"1,584.78"
"1,700.10"
"1,813.81"
"1,953.51"
"1,987.58"
"20,627.92"
"19,878.77"
"20,802.46"
"24,228.84"
"23,450.56"
"1,219.25"
"1,269.90"
"1,361.70"
"1,458.08"
"1,435.83"
"5,588.98"
"5,765.20"
"6,292.54"
"7,252.40"
"7,417.20"
"15,157.50"
"15,740.11"
"16,416.73"
"16,910.67"
"17,252.02"
588.23
501.42
496.68
533.99
521.75
"55,646.62"
"56,860.41"
"61,150.73"
"66,859.34"
"65,831.19"
"20,890.17"
"21,678.36"
"23,514.03"
"26,116.86"
"25,942.95"
"2,167.16"
"2,225.48"
"2,332.90"
"2,411.90"
"2,344.05"
386.44
389.82
384.46
389.83
419.39
"6,259.84"
"5,756.97"
"6,690.94"
"7,005.10"
"6,624.76"
"1,119.65"
"25,742.37"
"26,523.35"
"28,170.17"
"30,364.58"
"29,554.49"
"3,843.78"
"3,886.29"
"4,077.04"
"4,059.21"
"3,848.21"
"2,184.54"
"2,583.45"
"3,178.31"
773.51
755.33
"9,168.24"
"5,872.79"
"6,295.56"
"6,938.09"
"6,853.69"
"51,545.48"
"51,965.16"
"53,791.51"
"54,589.06"
"51,939.43"
"84,776.14"
"83,073.28"
"83,352.09"
"86,388.40"
"85,334.52"
978.40
807.10
848.67
853.22
890.54
947.93
966.50
"1,004.91"
"1,042.84"
"1,085.88"
"5,840.05"
"5,993.31"
"6,593.82"
"7,298.95"
"7,814.38"
570.91
803.15
830.75
901.52
893.35
"4,336.24"
"4,157.88"
"4,513.43"
"4,740.70"
"4,903.01"
"18,383.54"
"16,241.41"
"16,747.91"
"17,139.19"
"17,123.12"
"4,094.84"
"3,924.35"
"3,687.78"
