Country Name,Code,Year,Deaths - Cause: Diarrheal diseases - Risk: Child growth failure - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: No access to handwashing facility - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Suboptimal breastfeeding - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Unsafe water source - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Zinc deficiency - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Low birth weight - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Short gestation - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Unsafe sanitation - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Vitamin A deficiency - Sex: Both - Age: Under 5 (Number),GDP per capita (US$)
Georgia,GEO,2017,4,0,2,4,0,1,1,3,0,"4,357.00"
Georgia,GEO,2018,4,0,2,3,0,1,1,3,0,"4,722.04"
Georgia,GEO,2019,4,0,2,3,0,1,0,2,0,"4,696.15"
Germany,DEU,2015,4,0,3,0,0,2,1,0,0,"41,103.26"
Germany,DEU,2016,4,0,3,0,0,2,1,0,0,"42,136.12"
Germany,DEU,2017,3,0,3,0,0,2,1,0,0,"44,652.59"
Germany,DEU,2018,3,0,3,0,0,1,1,0,0,"47,973.61"
Germany,DEU,2019,3,0,2,0,0,1,1,0,0,"46,794.90"
Ghana,GHA,2015,2848,1164,572,3079,10,164,122,2128,138,"1,774.07"
Ghana,GHA,2016,2799,1145,547,3029,10,156,117,2075,129,"1,971.96"
Ghana,GHA,2017,2790,1142,540,3022,10,153,115,2051,123,"2,074.29"
Ghana,GHA,2018,2328,958,457,2535,8,136,103,1708,99,"2,260.86"
Ghana,GHA,2019,2103,867,416,2294,7,127,97,1536,87,"2,246.63"
Greece,GRC,2015,1,0,0,0,0,0,0,0,0,"18,083.88"
Greece,GRC,2016,1,0,1,0,0,0,0,0,0,"17,923.97"
Greece,GRC,2017,0,0,0,0,0,0,0,0,0,"18,582.09"
Greece,GRC,2018,0,0,0,0,0,0,0,0,0,"19,756.99"
Greece,GRC,2019,0,0,0,0,0,0,0,0,0,"19,133.76"
Greenland,GRL,2015,0,0,0,0,0,0,0,0,0,"44,536.40"
Greenland,GRL,2016,0,0,0,0,0,0,0,0,0,"48,181.87"
Greenland,GRL,2017,0,0,0,0,0,0,0,0,0,"50,766.60"
Greenland,GRL,2018,0,0,0,0,0,0,0,0,0,"54,545.30"
Greenland,GRL,2019,0,0,0,0,0,0,0,0,0,"53,256.24"
Grenada,GRD,2015,0,0,0,0,0,0,0,0,0,"9,096.54"
Grenada,GRD,2016,0,0,0,0,0,0,0,0,0,"9,628.26"
Grenada,GRD,2017,0,0,0,0,0,0,0,0,0,"10,152.83"
Grenada,GRD,2018,0,0,0,0,0,0,0,0,0,"10,466.88"
Grenada,GRD,2019,0,0,0,0,0,0,0,0,0,"10,834.50"
Guam,GUM,2015,0,0,0,0,0,0,0,0,0,"35,829.25"
Guam,GUM,2016,0,0,0,0,0,0,0,0,0,"36,214.01"
Guam,GUM,2017,0,0,0,0,0,0,0,0,0,"36,601.92"
Guam,GUM,2018,0,0,0,0,0,0,0,0,0,"36,556.67"
Guam,GUM,2019,0,0,0,0,0,0,0,0,0,"38,040.59"
Guatemala,GTM,2015,842,160,190,903,6,15,9,555,16,"3,994.64"
Guatemala,GTM,2016,810,151,183,863,6,14,9,526,15,"4,173.30"
Guatemala,GTM,2017,743,136,168,786,5,13,8,473,14,"4,454.05"
Guatemala,GTM,2018,694,125,157,729,5,12,8,433,13,"4,478.42"
Guatemala,GTM,2019,648,116,147,677,4,11,7,396,12,"4,638.63"
Guinea,GIN,2015,2668,1092,622,2927,14,169,128,2068,169,769.26
Guinea,GIN,2016,2691,1099,621,2949,14,166,126,2079,166,732.29
Guinea,GIN,2017,2672,1091,613,2927,14,162,123,2057,160,855.58
Guinea,GIN,2018,2455,1001,561,2687,12,148,112,1883,144,955.11
Guinea,GIN,2019,2204,901,508,2417,11,136,104,1691,126,"1,052.59"
Guinea-Bissau,GNB,2015,711,290,124,779,4,50,38,566,47,603.40
Guinea-Bissau,GNB,2016,719,292,122,785,4,48,36,569,47,661.46
Guinea-Bissau,GNB,2017,669,272,114,733,4,46,35,530,42,738.55
Guinea-Bissau,GNB,2018,557,228,98,613,3,42,32,442,34,802.77
Guinea-Bissau,GNB,2019,507,208,91,560,3,39,30,403,31,749.45
Guyana,GUY,2015,15,4,6,16,0,2,1,8,0,"5,576.83"
Guyana,GUY,2016,14,4,5,15,0,2,1,7,0,"5,811.40"
Guyana,GUY,2017,13,4,5,15,0,2,1,6,0,"6,124.95"
Guyana,GUY,2018,13,4,5,14,0,2,1,6,0,"6,145.82"
Guyana,GUY,2019,13,4,5,14,0,1,1,6,0,"6,609.51"
Haiti,HTI,2015,2548,1043,919,3109,48,360,233,2224,89,"1,386.85"
Haiti,HTI,2016,2743,1120,990,3342,52,383,248,2385,94,"1,290.38"
Haiti,HTI,2017,2399,984,869,2942,46,349,228,2095,80,"1,369.06"
Haiti,HTI,2018,2274,931,827,2786,44,331,216,1979,74,"1,479.35"
Haiti,HTI,2019,2174,889,794,2664,41,315,206,1887,70,"1,312.77"
Honduras,HND,2015,311,51,147,379,1,40,25,236,5,"2,302.20"
Honduras,HND,2016,300,48,141,362,1,38,24,224,5,"2,342.58"
Honduras,HND,2017,292,46,137,349,1,38,24,214,5,"2,453.73"
Honduras,HND,2018,278,43,130,330,1,36,23,201,4,"2,510.32"
Honduras,HND,2019,266,40,124,314,1,35,22,190,4,"2,574.36"
Hungary,HUN,2015,3,0,2,1,0,0,0,1,0,"12,720.71"
Hungary,HUN,2016,3,0,1,1,0,0,0,1,0,"13,107.38"
Hungary,HUN,2017,2,0,1,1,0,0,0,1,0,"14,623.70"
Hungary,HUN,2018,2,0,1,1,0,0,0,0,0,"16,427.37"
Hungary,HUN,2019,2,0,1,1,0,0,0,0,0,"16,735.66"
Iceland,ISL,2015,0,0,0,0,0,0,0,0,0,"52,951.68"
Iceland,ISL,2016,0,0,0,0,0,0,0,0,0,"61,987.93"
Iceland,ISL,2017,0,0,0,0,0,0,0,0,0,"72,010.15"
Iceland,ISL,2018,0,0,0,0,0,0,0,0,0,"74,469.80"
Iceland,ISL,2019,0,0,0,0,0,0,0,0,0,"68,941.46"
India,IND,2015,66283,18546,16961,70731,716,12514,7460,48358,2346,"1,605.61"
India,IND,2016,56145,15557,14413,59857,552,10721,6425,39811,1833,"1,732.55"
India,IND,2017,53100,14666,13462,56646,480,10225,6167,36439,1627,"1,980.67"
India,IND,2018,47126,12836,11629,49988,401,8926,5402,30680,1378,"1,998.26"
India,IND,2019,42897,11498,10277,45187,347,7901,4796,26180,1199,"2,072.24"
Indonesia,IDN,2015,9790,1594,3029,9553,45,895,570,3926,274,"3,331.70"
Indonesia,IDN,2016,8725,1399,2677,8493,38,796,509,3368,231,"3,562.82"
Indonesia,IDN,2017,8298,1308,2522,8058,34,754,485,3082,208,"3,837.58"
Indonesia,IDN,2018,7719,1189,2277,7460,32,679,441,2743,186,"3,893.86"
Indonesia,IDN,2019,7150,1079,2071,6889,29,623,408,2442,166,"4,135.23"
Iraq,IRQ,2015,374,28,149,370,6,103,78,154,4,"4,688.32"
Iraq,IRQ,2016,323,23,127,316,5,89,68,125,3,"4,550.66"
Iraq,IRQ,2017,303,22,119,294,4,83,64,110,3,"4,985.45"
Iraq,IRQ,2018,269,19,106,258,4,73,57,90,2,"5,915.85"
Iraq,IRQ,2019,244,17,96,232,3,67,52,77,2,"5,943.46"
Ireland,IRL,2015,1,0,1,0,0,0,0,0,0,"62,012.48"
Ireland,IRL,2016,1,0,1,0,0,0,0,0,0,"62,861.64"
Ireland,IRL,2017,1,0,0,0,0,0,0,0,0,"69,774.03"
Ireland,IRL,2018,1,0,0,0,0,0,0,0,0,"79,107.60"
Ireland,IRL,2019,1,0,0,0,0,0,0,0,0,"80,886.62"
Israel,ISR,2015,3,0,2,0,0,1,0,0,0,"35,808.44"
Israel,ISR,2016,3,0,2,0,0,1,0,0,0,"37,330.26"
Israel,ISR,2017,3,0,2,0,0,0,0,0,0,"40,774.13"
Israel,ISR,2018,3,0,2,0,0,0,0,0,0,"42,063.45"
Israel,ISR,2019,2,0,1,0,0,0,0,0,0,"43,951.25"
Italy,ITA,2015,5,0,3,1,0,1,1,0,0,"30,242.39"
Italy,ITA,2016,5,0,3,0,0,1,1,0,0,"30,960.73"
Italy,ITA,2017,4,0,3,0,0,1,1,0,0,"32,406.72"
Italy,ITA,2018,3,0,3,0,0,1,1,0,0,"34,622.17"
Italy,ITA,2019,3,0,2,0,0,1,1,0,0,"33,673.48"
Jamaica,JAM,2015,4,1,2,6,0,2,1,3,0,"4,907.93"
Jamaica,JAM,2016,4,1,2,6,0,1,1,3,0,"4,843.75"
Jamaica,JAM,2017,4,1,2,5,0,1,1,3,0,"5,070.10"
Jamaica,JAM,2018,3,1,2,5,0,1,1,2,0,"5,359.99"
Jamaica,JAM,2019,3,1,2,5,0,1,1,2,0,"5,369.50"
Japan,JPN,2015,23,1,8,6,0,2,1,1,0,"34,960.64"
Japan,JPN,2016,22,1,7,5,0,2,1,1,0,"39,375.47"
Japan,JPN,2017,20,1,7,5,0,2,1,1,0,"38,834.05"
Japan,JPN,2018,19,1,6,5,0,2,1,1,0,"39,727.12"
Japan,JPN,2019,18,1,6,4,0,1,1,1,0,"40,458.00"
Jordan,JOR,2015,22,2,10,15,0,3,3,3,0,"4,164.11"
Jordan,JOR,2016,22,2,11,15,0,3,3,3,0,"4,175.36"
Jordan,JOR,2017,22,2,11,15,0,3,3,3,0,"4,231.52"
Jordan,JOR,2018,21,2,10,15,0,3,3,2,0,"4,308.15"
Jordan,JOR,2019,21,2,10,14,0,3,3,2,0,"4,405.49"
Kazakhstan,KAZ,2015,33,3,13,27,0,3,2,23,1,"10,510.77"
Kazakhstan,KAZ,2016,31,3,12,25,0,3,2,21,1,"7,714.84"
Kazakhstan,KAZ,2017,28,2,11,22,0,3,2,18,1,"9,247.58"
Kazakhstan,KAZ,2018,28,2,11,22,0,3,2,18,1,"9,812.63"
Kazakhstan,KAZ,2019,26,2,10,20,0,3,2,17,1,"9,812.60"
Kenya,KEN,2015,7378,3599,2164,9211,27,1342,1110,6852,623,"1,464.55"
Kenya,KEN,2016,6491,3191,1995,8163,23,1242,1029,6065,536,"1,525.24"
Kenya,KEN,2017,6088,2982,1904,7627,22,1152,958,5649,494,"1,633.49"
Kenya,KEN,2018,5599,2749,1817,7028,21,1082,901,5217,448,"1,794.09"
Kenya,KEN,2019,5202,2564,1753,6552,19,1030,860,4864,410,"1,909.30"
Kiribati,KIR,2015,8,1,1,8,0,0,0,5,1,"1,535.16"
Kiribati,KIR,2016,7,1,1,7,0,0,0,5,1,"1,586.34"
Kiribati,KIR,2017,7,1,1,7,0,0,0,5,0,"1,648.59"
Kiribati,KIR,2018,7,1,1,7,0,0,0,4,0,"1,693.95"
Kiribati,KIR,2019,6,1,1,6,0,0,0,4,0,"1,512.95"
Kuwait,KWT,2015,2,0,1,1,0,0,0,0,0,"29,869.55"
Kuwait,KWT,2016,2,0,1,1,0,0,0,0,0,"27,653.16"
Kuwait,KWT,2017,2,0,1,1,0,0,0,0,0,"29,759.47"
Kuwait,KWT,2018,2,0,1,1,0,0,0,0,0,"33,399.06"
Kuwait,KWT,2019,2,0,1,1,0,0,0,0,0,"32,373.25"
Latvia,LVA,2015,0,0,0,0,0,0,0,0,0,"13,786.46"
Latvia,LVA,2016,0,0,0,0,0,0,0,0,0,"14,331.75"
Latvia,LVA,2017,0,0,0,0,0,0,0,0,0,"15,695.12"
Latvia,LVA,2018,0,0,0,0,0,0,0,0,0,"17,865.03"
Latvia,LVA,2019,0,0,0,0,0,0,0,0,0,"17,926.84"
Lebanon,LBN,2015,13,2,5,13,0,2,1,1,0,"7,643.01"
Lebanon,LBN,2016,12,1,5,12,0,2,1,1,0,"7,617.69"
Lebanon,LBN,2017,11,1,5,11,0,1,1,1,0,"7,776.03"
Lebanon,LBN,2018,10,1,4,10,0,1,1,1,0,"8,003.83"
Lebanon,LBN,2019,10,1,4,9,0,1,1,0,0,"7,527.44"
Lesotho,LSO,2015,333,141,97,359,0,19,17,265,19,"1,146.06"
Lesotho,LSO,2016,320,136,91,346,0,19,17,255,18,"1,018.78"
Lesotho,LSO,2017,300,127,84,324,0,17,15,238,16,"1,102.63"
Lesotho,LSO,2018,289,122,79,311,0,16,14,229,15,"1,192.48"
Lesotho,LSO,2019,278,118,76,300,0,15,14,220,14,"1,153.39"
Liberia,LBR,2015,1586,688,340,1784,22,96,76,1239,65,721.58
Liberia,LBR,2016,1416,616,301,1596,19,87,69,1105,56,740.91
Liberia,LBR,2017,1255,548,267,1420,17,81,64,979,48,721.09
Liberia,LBR,2018,1108,485,237,1256,15,73,58,864,41,710.27
Liberia,LBR,2019,1044,456,223,1182,14,67,53,812,38,672.34
Libya,LBY,2015,12,1,4,9,0,1,1,3,0,"7,590.44"
Libya,LBY,2016,12,1,4,9,0,1,1,3,0,"7,687.88"
Libya,LBY,2017,12,1,3,9,0,1,1,3,0,"10,205.32"
Libya,LBY,2018,11,1,3,9,0,1,1,3,0,"11,482.13"
Libya,LBY,2019,11,1,3,8,0,1,1,3,0,"10,218.04"
Lithuania,LTU,2015,1,0,1,1,0,0,0,0,0,"14,263.96"
Lithuania,LTU,2016,1,0,1,1,0,0,0,0,0,"15,008.31"
Lithuania,LTU,2017,1,0,1,1,0,0,0,0,0,"16,885.41"
Lithuania,LTU,2018,1,0,0,0,0,0,0,0,0,"19,186.18"
Lithuania,LTU,2019,1,0,0,0,0,0,0,0,0,"19,575.77"
Luxembourg,LUX,2015,0,0,0,0,0,0,0,0,0,"105,462.01"
Luxembourg,LUX,2016,0,0,0,0,0,0,0,0,0,"106,899.29"
Luxembourg,LUX,2017,0,0,0,0,0,0,0,0,0,"110,193.21"
Luxembourg,LUX,2018,0,0,0,0,0,0,0,0,0,"117,254.74"
Luxembourg,LUX,2019,0,0,0,0,0,0,0,0,0,"113,218.71"
Madagascar,MDG,2015,11305,4464,2333,11819,60,1016,791,9145,647,467.24
Madagascar,MDG,2016,10642,4217,2192,11158,56,979,765,8632,589,475.96
Madagascar,MDG,2017,10338,4103,2099,10848,54,950,744,8390,553,515.29
Madagascar,MDG,2018,9593,3818,1943,10088,50,894,702,7798,500,518.40
Madagascar,MDG,2019,8899,3556,1818,9395,45,855,673,7260,454,526.22
Malawi,MWI,2015,2431,1117,458,2920,11,164,132,2167,144,380.60
Malawi,MWI,2016,2289,1059,449,2766,10,169,135,2052,132,315.78
Malawi,MWI,2017,2207,1026,439,2681,10,175,141,1988,125,506.14
Malawi,MWI,2018,2052,954,397,2490,9,156,126,1845,115,544.59
Malawi,MWI,2019,1877,875,365,2283,8,146,119,1691,104,591.85
Malaysia,MYS,2015,49,2,13,33,0,3,2,4,0,"9,955.24"
Malaysia,MYS,2016,42,2,12,28,0,3,2,4,0,"9,817.79"
Malaysia,MYS,2017,41,2,12,28,0,3,2,3,0,"10,259.30"
Malaysia,MYS,2018,41,2,12,28,0,3,2,3,0,"11,380.08"
Malaysia,MYS,2019,41,2,12,27,0,3,2,3,0,"11,432.83"
Maldives,MDV,2015,2,0,1,2,0,0,0,1,0,"9,033.41"
Maldives,MDV,2016,2,0,1,2,0,0,0,1,0,"9,209.44"
Maldives,MDV,2017,2,0,0,2,0,0,0,1,0,"9,577.35"
Maldives,MDV,2018,2,0,0,2,0,0,0,1,0,"10,279.08"
Maldives,MDV,2019,2,0,0,2,0,0,0,1,0,"10,561.61"
Mali,MLI,2015,5091,2008,1152,5407,10,446,338,4016,345,751.47
Mali,MLI,2016,5622,2197,1221,5919,11,443,336,4395,378,780.72
Mali,MLI,2017,5744,2238,1233,6029,12,438,331,4475,383,830.02
Mali,MLI,2018,5500,2144,1195,5776,11,423,320,4286,360,894.80
Mali,MLI,2019,5271,2058,1160,5542,11,410,311,4112,340,879.04
Malta,MLT,2015,0,0,0,0,0,0,0,0,0,"24,921.60"
Malta,MLT,2016,0,0,0,0,0,0,0,0,0,"25,624.54"
Malta,MLT,2017,0,0,0,0,0,0,0,0,0,"28,857.02"
Malta,MLT,2018,0,0,0,0,0,0,0,0,0,"31,573.12"
Malta,MLT,2019,0,0,0,0,0,0,0,0,0,"31,185.65"
Marshall Islands,MHL,2015,1,0,0,1,0,0,0,0,0,"3,199.89"
Marshall Islands,MHL,2016,1,0,0,1,0,0,0,0,0,"3,491.00"
Marshall Islands,MHL,2017,1,0,0,1,0,0,0,0,0,"3,672.58"
Marshall Islands,MHL,2018,1,0,0,1,0,0,0,0,0,"3,793.55"
Marshall Islands,MHL,2019,1,0,0,1,0,0,0,0,0,"4,073.11"
Mauritania,MRT,2015,970,354,226,1021,2,86,70,750,28,"1,524.07"
Mauritania,MRT,2016,874,320,205,924,2,82,67,677,25,"1,536.86"
Mauritania,MRT,2017,812,298,192,862,2,79,65,630,23,"1,587.86"
Mauritania,MRT,2018,694,255,166,739,1,71,59,538,19,"1,669.77"
Mauritania,MRT,2019,644,236,154,685,1,65,55,498,17,"1,743.30"
Mauritius,MUS,2015,3,0,1,1,0,0,0,0,0,"9,260.45"
Mauritius,MUS,2016,3,0,1,1,0,0,0,0,0,"9,681.62"
Mauritius,MUS,2017,3,0,1,1,0,0,0,0,0,"10,484.91"
Mauritius,MUS,2018,3,0,1,1,0,0,0,0,0,"11,208.34"
Mauritius,MUS,2019,3,0,1,1,0,0,0,0,0,"11,097.17"
Mexico,MEX,2015,790,107,334,639,2,44,28,291,23,"9,616.65"
Mexico,MEX,2016,732,98,305,583,2,37,23,262,21,"8,744.52"
Mexico,MEX,2017,668,88,277,525,1,32,20,232,18,"9,287.85"
Mexico,MEX,2018,657,86,274,510,1,33,21,219,17,"9,686.98"
Mexico,MEX,2019,627,82,263,481,1,32,21,202,16,"9,950.22"
Moldova,MDA,2015,2,0,2,3,0,1,1,2,0,"2,732.46"
Moldova,MDA,2016,2,0,1,3,0,1,1,2,0,"2,880.44"
Moldova,MDA,2017,2,0,1,2,0,1,1,2,0,"3,509.69"
Moldova,MDA,2018,1,0,1,2,0,1,1,2,0,"4,230.63"
Moldova,MDA,2019,1,0,1,2,0,1,0,2,0,"4,492.11"
Monaco,MCO,2015,0,0,0,0,0,0,0,0,0,"165,989.51"
Monaco,MCO,2016,0,0,0,0,0,0,0,0,0,"170,028.66"
Monaco,MCO,2017,0,0,0,0,0,0,0,0,0,"167,517.06"
Monaco,MCO,2018,0,0,0,0,0,0,0,0,0,"185,978.61"
Monaco,MCO,2019,0,0,0,0,0,0,0,0,0,"189,487.15"
Mongolia,MNG,2015,34,8,13,42,0,3,2,34,0,"3,875.32"
Mongolia,MNG,2016,32,8,12,40,0,3,2,32,0,"3,658.39"
Mongolia,MNG,2017,33,7,12,40,0,3,2,32,0,"3,687.10"
Mongolia,MNG,2018,30,7,11,37,0,3,2,30,0,"4,156.85"
Mongolia,MNG,2019,27,6,10,33,0,2,2,27,0,"4,404.85"
Montenegro,MNE,2015,0,0,0,0,0,0,0,0,0,"6,517.19"
Montenegro,MNE,2016,0,0,0,0,0,0,0,0,0,"7,033.44"
Montenegro,MNE,2017,0,0,0,0,0,0,0,0,0,"7,803.36"
Montenegro,MNE,2018,0,0,0,0,0,0,0,0,0,"8,850.38"
Montenegro,MNE,2019,0,0,0,0,0,0,0,0,0,"8,909.89"
Morocco,MAR,2015,1070,195,407,1077,3,109,79,396,21,"2,875.26"
Morocco,MAR,2016,967,172,365,966,2,99,72,342,18,"2,896.72"
Morocco,MAR,2017,878,153,331,872,2,91,67,297,16,"3,035.45"
Morocco,MAR,2018,768,130,289,755,2,80,60,246,13,"3,226.98"
Morocco,MAR,2019,662,110,254,648,2,73,55,203,11,"3,235.00"
Mozambique,MOZ,2015,3972,1686,1153,4521,36,179,136,3382,262,589.86
Mozambique,MOZ,2016,3638,1549,1064,4152,32,166,127,3105,233,428.93
Mozambique,MOZ,2017,3416,1459,1016,3910,28,160,124,2920,211,461.41
Mozambique,MOZ,2018,3117,1335,928,3573,25,146,113,2666,188,503.30
Mozambique,MOZ,2019,3179,1361,915,3643,27,139,108,2716,190,506.82
Myanmar,MMR,2015,1989,450,638,2116,5,137,84,1355,51,"1,196.74"
Myanmar,MMR,2016,1868,418,589,1982,5,123,76,1252,46,"1,136.61"
Myanmar,MMR,2017,1713,382,545,1828,4,119,74,1139,40,"1,151.11"
Myanmar,MMR,2018,1495,332,483,1604,3,111,70,984,34,"1,250.17"
Myanmar,MMR,2019,1369,301,446,1470,3,102,64,889,30,"1,271.11"
Namibia,NAM,2015,180,51,63,182,0,9,8,120,4,"4,896.62"
Namibia,NAM,2016,170,48,60,172,0,8,7,112,3,"4,546.99"
Namibia,NAM,2017,167,47,59,168,0,8,7,108,3,"5,367.11"
Namibia,NAM,2018,161,44,56,161,0,7,7,103,3,"5,588.39"
Namibia,NAM,2019,150,41,52,150,0,7,6,95,3,"5,028.30"
Nauru,NRU,2015,0,0,0,0,0,0,0,0,0,"8,341.01"
Nauru,NRU,2016,0,0,0,0,0,0,0,0,0,"9,521.04"
Nauru,NRU,2017,0,0,0,0,0,0,0,0,0,"10,339.39"
Nauru,NRU,2018,0,0,0,0,0,0,0,0,0,"11,614.67"
Nauru,NRU,2019,0,0,0,0,0,0,0,0,0,"11,029.74"
Nepal,NPL,2015,828,216,164,968,2,133,85,582,13,901.75
Nepal,NPL,2016,724,185,142,847,2,118,76,501,11,899.52
Nepal,NPL,2017,678,171,132,795,2,113,74,463,10,"1,048.45"
Nepal,NPL,2018,558,139,111,659,1,99,65,378,8,"1,178.53"
Nepal,NPL,2019,504,123,100,595,1,89,58,337,7,"1,194.96"
Netherlands,NLD,2015,1,0,1,0,0,0,0,0,0,"45,193.40"
Netherlands,NLD,2016,1,0,1,0,0,0,0,0,0,"46,039.11"
Netherlands,NLD,2017,1,0,1,0,0,0,0,0,0,"48,675.22"
Netherlands,NLD,2018,1,0,1,0,0,0,0,0,0,"53,044.53"
Netherlands,NLD,2019,1,0,1,0,0,0,0,0,0,"52,476.27"
New Zealand,NZL,2015,2,0,1,1,0,0,0,0,0,"38,630.73"
New Zealand,NZL,2016,1,0,1,0,0,0,0,0,0,"40,058.20"
New Zealand,NZL,2017,1,0,1,0,0,0,0,0,0,"42,925.00"
New Zealand,NZL,2018,1,0,1,0,0,0,0,0,0,"43,250.44"
New Zealand,NZL,2019,1,0,1,0,0,0,0,0,0,"42,865.23"
Nicaragua,NIC,2015,67,15,31,82,0,3,2,54,0,"2,049.85"
Nicaragua,NIC,2016,65,14,29,79,0,3,2,51,0,"2,107.57"
Nicaragua,NIC,2017,63,14,28,76,0,3,2,49,0,"2,159.16"
Nicaragua,NIC,2018,59,13,26,71,0,3,2,45,0,"2,014.58"
Nicaragua,NIC,2019,55,12,25,66,0,2,2,41,0,"1,924.47"
Niger,NER,2015,21027,7457,3833,20612,82,887,693,15870,1929,484.15
Niger,NER,2016,21624,7665,3959,21191,85,899,702,16311,1961,500.21
Niger,NER,2017,22084,7833,4083,21662,88,928,726,16667,1976,517.77
Niger,NER,2018,20743,7382,3951,20414,82,932,730,15703,1843,570.72
Niger,NER,2019,20086,7159,3881,19794,80,918,722,15219,1773,554.10
Nigeria,NGA,2015,132520,49319,32812,133138,498,5346,4047,91031,2813,"2,687.48"
Nigeria,NGA,2016,130048,48272,30818,130276,498,5004,3798,88263,2603,"2,176.00"
Nigeria,NGA,2017,128060,47550,29780,128291,495,4899,3732,86141,2422,"1,968.57"
Nigeria,NGA,2018,120906,44934,28202,121176,467,4643,3545,80764,2230,"2,027.78"
Nigeria,NGA,2019,114803,42733,27099,115247,444,4470,3419,76445,2084,"2,229.86"
North Macedonia,MKD,2015,1,0,1,1,0,0,0,0,0,"4,861.55"
North Macedonia,MKD,2016,1,0,1,1,0,0,0,0,0,"5,149.59"
North Macedonia,MKD,2017,1,0,1,1,0,0,0,0,0,"5,450.49"
North Macedonia,MKD,2018,1,0,1,1,0,0,0,0,0,"6,108.74"
North Macedonia,MKD,2019,1,0,1,1,0,0,0,0,0,"6,070.39"
Northern Mariana Islands,MNP,2015,0,0,0,0,0,0,0,0,0,"16,314.38"
Northern Mariana Islands,MNP,2016,0,0,0,0,0,0,0,0,0,"21,891.18"
Northern Mariana Islands,MNP,2017,0,0,0,0,0,0,0,0,0,"27,584.74"
Northern Mariana Islands,MNP,2018,0,0,0,0,0,0,0,0,0,"22,886.67"
Northern Mariana Islands,MNP,2019,0,0,0,0,0,0,0,0,0,"20,659.64"
Norway,NOR,2015,0,0,0,0,0,0,0,0,0,"74,355.52"
Norway,NOR,2016,0,0,0,0,0,0,0,0,0,"70,460.56"
Norway,NOR,2017,0,0,0,0,0,0,0,0,0,"75,496.75"
Norway,NOR,2018,0,0,0,0,0,0,0,0,0,"82,267.81"
Norway,NOR,2019,0,0,0,0,0,0,0,0,0,"75,719.75"
Oman,OMN,2015,6,1,2,5,0,1,1,0,0,"18,444.93"
Oman,OMN,2016,6,1,2,5,0,1,1,0,0,"16,772.74"
Oman,OMN,2017,6,1,2,5,0,1,1,0,0,"17,329.19"
Oman,OMN,2018,6,1,2,5,0,1,1,0,0,"18,947.37"
Oman,OMN,2019,6,1,2,5,0,1,1,0,0,"17,700.70"
Pakistan,PAK,2015,35922,8552,8746,36861,674,2730,1787,18509,413,"1,356.67"
Pakistan,PAK,2016,33812,8001,8062,34653,626,2502,1638,17172,375,"1,540.18"
Pakistan,PAK,2017,32460,7628,7544,33296,587,2400,1572,16274,346,"1,631.53"
Pakistan,PAK,2018,28987,6729,6569,29748,506,2148,1408,14269,298,"1,678.04"
Pakistan,PAK,2019,26789,6133,5914,27484,452,1973,1296,12949,267,"1,481.81"
Palau,PLW,2015,0,0,0,0,0,0,0,0,0,"15,876.46"
Palau,PLW,2016,0,0,0,0,0,0,0,0,0,"16,835.99"
Palau,PLW,2017,0,0,0,0,0,0,0,0,0,"16,019.99"
Palau,PLW,2018,0,0,0,0,0,0,0,0,0,"15,895.26"
Palau,PLW,2019,0,0,0,0,0,0,0,0,0,"15,232.49"
Panama,PAN,2015,47,9,19,53,0,2,1,30,0,"13,630.30"
Panama,PAN,2016,48,9,19,53,0,2,1,30,0,"14,343.98"
Panama,PAN,2017,45,8,18,50,0,2,1,26,0,"15,146.41"
Panama,PAN,2018,43,7,17,47,0,2,1,24,0,"15,545.00"
Panama,PAN,2019,41,7,17,44,0,1,1,21,0,"15,774.25"
Papua New Guinea,PNG,2015,1173,277,209,1218,8,85,52,928,36,"2,679.35"
Papua New Guinea,PNG,2016,1187,277,208,1230,8,82,51,935,36,"2,509.63"
Papua New Guinea,PNG,2017,1212,281,210,1254,8,82,51,951,35,"2,695.25"
Papua New Guinea,PNG,2018,1162,267,200,1201,7,78,49,910,33,"2,801.37"
Papua New Guinea,PNG,2019,1121,256,192,1159,7,76,47,876,31,"2,820.31"
Paraguay,PRY,2015,36,8,22,42,0,2,1,20,1,"5,413.78"
Paraguay,PRY,2016,33,8,21,39,0,2,1,19,1,"5,324.61"
Paraguay,PRY,2017,34,8,22,40,0,2,1,19,1,"5,678.87"
Paraguay,PRY,2018,34,8,22,40,0,2,1,18,1,"5,782.78"
Paraguay,PRY,2019,34,8,22,40,0,2,1,18,1,"5,383.57"
Peru,PER,2015,164,49,50,241,1,9,6,168,4,"6,229.10"
Peru,PER,2016,163,49,51,240,1,9,6,165,4,"6,205.00"
Peru,PER,2017,160,48,51,234,1,9,6,159,4,"6,710.51"
