Country Name,Code,Year,Deaths - Cause: Diarrheal diseases - Risk: Child growth failure - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: No access to handwashing facility - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Suboptimal breastfeeding - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Unsafe water source - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Zinc deficiency - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Low birth weight - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Short gestation - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Unsafe sanitation - Sex: Both - Age: Under 5 (Number),Deaths - Cause: Diarrheal diseases - Risk: Vitamin A deficiency - Sex: Both - Age: Under 5 (Number),Total Deaths,GDP per capita (US$)
World,OWID_WRL,2019,405102,140769,96610,419222,2806,31383,22805,279618,15515,1413830,11407.47933
Zambia,ZMB,2015,3525,1460,651,3864,22,228,189,2778,154,12871,1338.290927
Zambia,ZMB,2016,3549,1469,679,3887,21,229,191,2774,146,12945,1280.806543
Zambia,ZMB,2017,3533,1460,700,3866,20,227,190,2736,137,12869,1535.196574
Zambia,ZMB,2018,3081,1272,626,3371,17,199,168,2367,115,11216,1516.368371
Zambia,ZMB,2019,2810,1161,578,3077,15,182,155,2148,102,10228,1305.001031
Zimbabwe,ZWE,2015,949,415,326,1140,5,64,57,759,62,3777,1445.069702
Zimbabwe,ZWE,2016,904,396,305,1088,5,59,53,719,57,3586,1464.588957
Zimbabwe,ZWE,2017,875,383,295,1054,5,58,52,692,53,3467,1235.189032
Zimbabwe,ZWE,2018,794,348,269,957,4,53,48,624,47,3144,1254.642265
Zimbabwe,ZWE,2019,744,326,255,898,4,50,45,582,43,2947,1316.740657
