Country Name,Country Code,Indicator Name,Indicator Code,2015,2016,2017,2018,2019,,Mean
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,31699.35863,31314.84456,32371.00818,33077.39183,33872.33431,,32466.9875
Italy,ITA,GDP per capita (current US$),NY.GDP.PCAP.CD,30242.38614,30960.73151,32406.72032,34622.16967,33673.47545,,32381.09661
Puerto Rico,PRI,GDP per capita (current US$),NY.GDP.PCAP.CD,29763.4883,30627.1634,31108.76057,31604.70151,32850.54861,,31190.93248
"Korea, Rep.",KOR,GDP per capita (current US$),NY.GDP.PCAP.CD,28732.23108,29288.87044,31616.8434,33436.92306,31902.4169,,30995.45698
Kuwait,KWT,GDP per capita (current US$),NY.GDP.PCAP.CD,29869.55275,27653.15762,29759.46747,33399.06048,32373.25111,,30610.89789
Sint Maarten (Dutch part),SXM,GDP per capita (current US$),NY.GDP.PCAP.CD,32274.89055,31616.6817,29369.05683,28988.25921,,,30562.22207
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,31164.03625,27158.40565,28571.60829,31628.47626,31085.96193,,29921.69768
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,28399.05013,28453.71556,29348.41897,30253.71423,31135.88436,,29518.15665
Turks and Caicos Islands,TCA,GDP per capita (current US$),NY.GDP.PCAP.CD,26183.88504,28241.47929,27545.12879,29553.1367,31350.86663,,28574.89929
Malta,MLT,GDP per capita (current US$),NY.GDP.PCAP.CD,24921.60368,25624.53727,28857.01987,31573.11656,31185.64962,,28432.3854
Spain,ESP,GDP per capita (current US$),NY.GDP.PCAP.CD,25742.36883,26523.34822,28170.16786,30364.57994,29554.49052,,28070.99108
Cyprus,CYP,GDP per capita (current US$),NY.GDP.PCAP.CD,23408.33594,24605.91992,26608.875,29334.11133,29206.07617,,26632.66367
Europe & Central Asia,ECS,GDP per capita (current US$),NY.GDP.PCAP.CD,22624.91539,22455.14736,23704.3284,25297.67986,24914.60337,,23799.33488
Slovenia,SVN,GDP per capita (current US$),NY.GDP.PCAP.CD,20890.16643,21678.35947,23514.02546,26116.85636,25942.95477,,23628.4725
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,22634.08565,22608.45256,23742.93734,24086.30169,23552.37995,,23324.83144
Northern Mariana Islands,MNP,GDP per capita (current US$),NY.GDP.PCAP.CD,16314.38355,21891.18479,27584.74351,22886.67405,20659.64029,,21867.32524
Saudi Arabia,SAU,GDP per capita (current US$),NY.GDP.PCAP.CD,20627.92178,19878.76817,20802.46179,24228.83904,23450.56202,,21797.71056
Portugal,PRT,GDP per capita (current US$),NY.GDP.PCAP.CD,19250.10654,19991.97249,21490.42986,23562.55452,23330.81729,,21525.17614
French Polynesia,PYF,GDP per capita (current US$),NY.GDP.PCAP.CD,19500.10086,20020.09386,21127.06433,22094.75746,21512.2733,,20850.85796
Czech Republic,CZE,GDP per capita (current US$),NY.GDP.PCAP.CD,17829.69832,18575.23203,20636.19995,23419.73561,23660.14881,,20824.20294
Estonia,EST,GDP per capita (current US$),NY.GDP.PCAP.CD,17402.03761,18295.34293,20437.76538,23063.56382,23397.87826,,20519.3176
St. Kitts and Nevis,KNA,GDP per capita (current US$),NY.GDP.PCAP.CD,18717.42876,19542.16228,20382.77987,20567.25826,22047.88303,,20251.50244
Curacao,CUW,GDP per capita (current US$),NY.GDP.PCAP.CD,19260.26985,18881.83062,18788.80728,18956.09791,19024.17723,,18982.23658
Greece,GRC,GDP per capita (current US$),NY.GDP.PCAP.CD,18083.87791,17923.96681,18582.08934,19756.99046,19133.75776,,18696.13646
Oman,OMN,GDP per capita (current US$),NY.GDP.PCAP.CD,18444.927,16772.73921,17329.18546,18947.3665,17700.70349,,17838.98433
Slovak Republic,SVK,GDP per capita (current US$),NY.GDP.PCAP.CD,16342.21626,16512.29299,17538.04858,19389.98216,19303.54566,,17817.21713
Uruguay,URY,GDP per capita (current US$),NY.GDP.PCAP.CD,15613.74597,16715.63347,18690.89384,18703.86029,17688.01501,,17482.42972
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,16558.86478,16909.88655,17404.20747,17782.87473,18480.05659,,17427.17803
Trinidad and Tobago,TTO,GDP per capita (current US$),NY.GDP.PCAP.CD,18383.5387,16241.41096,16747.9067,17139.18567,17123.11629,,17127.03166
Lithuania,LTU,GDP per capita (current US$),NY.GDP.PCAP.CD,14263.96458,15008.31324,16885.40739,19186.18128,19575.76848,,16983.927
Seychelles,SYC,GDP per capita (current US$),NY.GDP.PCAP.CD,15157.50183,15740.11063,16416.72607,16910.66792,17252.02078,,16295.40545
Palau,PLW,GDP per capita (current US$),NY.GDP.PCAP.CD,15876.46193,16835.986,16019.98989,15895.2599,15232.48708,,15972.03696
Latvia,LVA,GDP per capita (current US$),NY.GDP.PCAP.CD,13786.4568,14331.75159,15695.11515,17865.03109,17926.84159,,15921.03924
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,14285.32978,15198.74297,15383.5764,16679.59166,17376.64968,,15784.7781
Panama,PAN,GDP per capita (current US$),NY.GDP.PCAP.CD,13630.30115,14343.98026,15146.40851,15544.99908,15774.25495,,14887.98879
Hungary,HUN,GDP per capita (current US$),NY.GDP.PCAP.CD,12720.71202,13107.37791,14623.69665,16427.37276,16735.65978,,14722.96383
Chile,CHL,GDP per capita (current US$),NY.GDP.PCAP.CD,13495.01061,13690.90746,14962.55685,15772.33348,14699.46278,,14524.05424
Central Europe and the Baltics,CEB,GDP per capita (current US$),NY.GDP.PCAP.CD,12522.66106,12831.40994,14254.7381,16047.2797,16346.56181,,14400.53012
Poland,POL,GDP per capita (current US$),NY.GDP.PCAP.CD,12578.49547,12447.43959,13864.68176,15468.48222,15732.20313,,14018.26043
Croatia,HRV,GDP per capita (current US$),NY.GDP.PCAP.CD,11933.37738,12527.73986,13629.28959,15227.5601,15311.7669,,13725.94677
Other small states,OSS,GDP per capita (current US$),NY.GDP.PCAP.CD,12780.72639,12385.43331,13215.42974,14368.92697,13799.29553,,13309.96239
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,13789.06042,12790.24247,14613.04182,11795.15939,10076.35524,,12612.77187
Costa Rica,CRI,GDP per capita (current US$),NY.GDP.PCAP.CD,11642.77805,12011.22275,12225.57449,12485.4239,12762.13801,,12225.42744
Small states,SST,GDP per capita (current US$),NY.GDP.PCAP.CD,11746.83968,11348.57057,12064.64049,13015.08585,12615.13255,,12158.05383
American Samoa,ASM,GDP per capita (current US$),NY.GDP.PCAP.CD,12059.63516,12038.2497,11003.82976,11521.60978,11715.36014,,11667.73691
Romania,ROU,GDP per capita (current US$),NY.GDP.PCAP.CD,8969.148921,9548.587403,10807.00917,12398.98198,12899.34611,,10924.61472
St. Lucia,LCA,GDP per capita (current US$),NY.GDP.PCAP.CD,10093.61802,10362.35158,11034.62983,11353.71523,11591.08044,,10887.07902
World,WLD,GDP per capita (current US$),NY.GDP.PCAP.CD,10231.70259,10286.41133,10825.90237,11366.07367,11407.47933,,10823.51386
Malaysia,MYS,GDP per capita (current US$),NY.GDP.PCAP.CD,9955.242722,9817.78709,10259.30481,11380.07922,11432.82603,,10569.04797
East Asia & Pacific,EAS,GDP per capita (current US$),NY.GDP.PCAP.CD,9599.414082,9867.865824,10466.42427,11324.00488,11494.09153,,10550.36012
Mauritius,MUS,GDP per capita (current US$),NY.GDP.PCAP.CD,9260.447303,9681.618567,10484.90836,11208.34382,11097.16898,,10346.49741
Russian Federation,RUS,GDP per capita (current US$),NY.GDP.PCAP.CD,9313.013672,8704.898438,10720.33301,11287.36035,11536.25098,,10312.37129
Turkiye,TUR,GDP per capita (current US$),NY.GDP.PCAP.CD,11006.27952,10894.60338,10589.66772,9454.348443,9121.515167,,10213.28285
Nauru,NRU,GDP per capita (current US$),NY.GDP.PCAP.CD,8341.012278,9521.042101,10339.38548,11614.66508,11029.73558,,10169.1681
Caribbean small states,CSS,GDP per capita (current US$),NY.GDP.PCAP.CD,10181.80616,9557.667766,9915.744684,10250.29173,10406.67071,,10062.43621
Grenada,GRD,GDP per capita (current US$),NY.GDP.PCAP.CD,9096.538652,9628.259169,10152.83281,10466.88221,10834.49568,,10035.8017
Maldives,MDV,GDP per capita (current US$),NY.GDP.PCAP.CD,9033.41027,9209.443564,9577.346946,10279.07998,10561.61351,,9732.178853
Equatorial Guinea,GNQ,GDP per capita (current US$),NY.GDP.PCAP.CD,11283.39802,9250.316728,9667.856962,10005.61604,8380.741122,,9717.585774
Mexico,MEX,GDP per capita (current US$),NY.GDP.PCAP.CD,9616.645558,8744.515559,9287.849587,9686.984927,9950.217622,,9457.242651
Libya,LBY,GDP per capita (current US$),NY.GDP.PCAP.CD,7590.442981,7687.882134,10205.32483,11482.13364,10218.04303,,9436.765322
Kazakhstan,KAZ,GDP per capita (current US$),NY.GDP.PCAP.CD,10510.77189,7714.841844,9247.581331,9812.626371,9812.595808,,9419.683449
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,8813.989806,8710.06329,9928.675897,9151.381732,8876.059836,,9096.034112
Late-demographic dividend,LTE,GDP per capita (current US$),NY.GDP.PCAP.CD,8208.051873,8179.070874,9018.161029,9832.141379,9974.505915,,9042.386214
China,CHN,GDP per capita (current US$),NY.GDP.PCAP.CD,8016.431435,8094.363367,8816.986905,9905.342004,10143.8382,,8995.392381
Upper middle income,UMC,GDP per capita (current US$),NY.GDP.PCAP.CD,8149.75184,8041.062324,8834.526226,9448.634854,9548.200238,,8804.435096
Latin America & Caribbean,LCN,GDP per capita (current US$),NY.GDP.PCAP.CD,8629.009605,8350.020625,9188.579683,8902.399152,8699.460717,,8753.893957
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP per capita (current US$),NY.GDP.PCAP.CD,8480.625831,8185.147519,9037.781171,8740.515234,8519.254425,,8592.664836
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,7074.681023,7569.478815,8366.293221,9446.700772,9879.268533,,8467.284473
Cuba,CUB,GDP per capita (current US$),NY.GDP.PCAP.CD,7694.014637,8060.796598,8541.213686,8824.194008,9125.878679,,8449.219522
Europe & Central Asia (IDA & IBRD countries),TEC,GDP per capita (current US$),NY.GDP.PCAP.CD,8019.897882,7677.406606,8562.533645,8876.157251,9026.080646,,8432.415206
Latin America & Caribbean (excluding high income),LAC,GDP per capita (current US$),NY.GDP.PCAP.CD,8203.003864,7885.57463,8699.475686,8357.124704,8165.360565,,8262.10789
Dominica,DMA,GDP per capita (current US$),NY.GDP.PCAP.CD,7597.288894,8080.968623,7298.51458,7745.376963,8516.280039,,7847.68582
Montenegro,MNE,GDP per capita (current US$),NY.GDP.PCAP.CD,6517.189614,7033.438006,7803.362579,8850.378404,8909.890151,,7822.851751
St. Vincent and the Grenadines,VCT,GDP per capita (current US$),NY.GDP.PCAP.CD,7207.170759,7438.792212,7717.846546,8024.028496,8229.722486,,7723.5121
Europe & Central Asia (excluding high income),ECA,GDP per capita (current US$),NY.GDP.PCAP.CD,7485.826926,7070.965425,7889.016899,8008.257108,8136.751834,,7718.163639
Lebanon,LBN,GDP per capita (current US$),NY.GDP.PCAP.CD,7643.008718,7617.689634,7776.034642,8003.827612,7527.44306,,7713.600733
Dominican Republic,DOM,GDP per capita (current US$),NY.GDP.PCAP.CD,6921.520594,7280.88361,7609.353275,8050.644076,8282.117131,,7628.903737
Middle East & North Africa,MEA,GDP per capita (current US$),NY.GDP.PCAP.CD,7375.464756,7307.448457,7469.549834,7704.420769,7587.355596,,7488.847882
Gabon,GAB,GDP per capita (current US$),NY.GDP.PCAP.CD,7384.700704,6984.419712,7230.434912,7959.007267,7766.996554,,7465.11183
East Asia & Pacific (IDA & IBRD countries),TEA,GDP per capita (current US$),NY.GDP.PCAP.CD,6583.953456,6674.255578,7238.969962,8042.948352,8268.375718,,7361.700613
East Asia & Pacific (excluding high income),EAP,GDP per capita (current US$),NY.GDP.PCAP.CD,6511.258118,6600.764194,7159.45138,7954.762525,8177.838,,7280.814843
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,6402.910183,6982.917492,7296.092142,7503.878588,7247.429476,,7086.645576
Suriname,SUR,GDP per capita (current US$),NY.GDP.PCAP.CD,9168.237157,5872.789429,6295.560562,6938.086981,6853.693411,,7025.673508
Turkmenistan,TKM,GDP per capita (current US$),NY.GDP.PCAP.CD,6432.685325,6387.682575,6587.092604,6967.375043,7612.03518,,6797.374146
Thailand,THA,GDP per capita (current US$),NY.GDP.PCAP.CD,5840.053067,5993.305516,6593.818352,7298.947146,7814.384431,,6708.101702
Peru,PER,GDP per capita (current US$),NY.GDP.PCAP.CD,6229.100674,6204.996457,6710.507602,6958.497262,7023.077526,,6625.235904
South Africa,ZAF,GDP per capita (current US$),NY.GDP.PCAP.CD,6259.839681,5756.965741,6690.939847,7005.095413,6624.761865,,6467.520509
Serbia,SRB,GDP per capita (current US$),NY.GDP.PCAP.CD,5588.980728,5765.200762,6292.543629,7252.401858,7417.203649,,6463.266125
Arab World,ARB,GDP per capita (current US$),NY.GDP.PCAP.CD,6359.900578,6177.227235,6272.949782,6635.381394,6562.969998,,6401.685798
Colombia,COL,GDP per capita (current US$),NY.GDP.PCAP.CD,6175.87603,5870.777957,6376.706716,6729.583332,6418.615783,,6314.311963
Ecuador,ECU,GDP per capita (current US$),NY.GDP.PCAP.CD,6124.490887,6060.092962,6213.503127,6295.934662,6222.524653,,6183.309258
Guyana,GUY,GDP per capita (current US$),NY.GDP.PCAP.CD,5576.825852,5811.397924,6124.95367,6145.819277,6609.51128,,6053.7016
IBRD only,IBD,GDP per capita (current US$),NY.GDP.PCAP.CD,5547.679602,5540.167966,6058.914633,6387.748819,6473.782551,,6001.658714
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,5967.052204,5039.681886,5785.670673,6360.062473,6837.717826,,5998.037012
Fiji,FJI,GDP per capita (current US$),NY.GDP.PCAP.CD,5390.714207,5651.272721,6101.02389,6317.413723,6175.890653,,5927.263039
North Macedonia,MKD,GDP per capita (current US$),NY.GDP.PCAP.CD,4861.553971,5149.589074,5450.492881,6108.740108,6070.388054,,5528.152818
Paraguay,PRY,GDP per capita (current US$),NY.GDP.PCAP.CD,5413.776021,5324.609068,5678.869972,5782.78455,5383.574422,,5516.722806
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,4729.690054,4994.971623,5394.26914,6070.35298,6119.762351,,5461.80923
Iraq,IRQ,GDP per capita (current US$),NY.GDP.PCAP.CD,4688.318017,4550.658638,4985.452879,5915.850854,5943.458455,,5216.747769
Middle income,MIC,GDP per capita (current US$),NY.GDP.PCAP.CD,4755.93561,4745.70858,5154.4311,5415.611006,5487.844058,,5111.906071
Jamaica,JAM,GDP per capita (current US$),NY.GDP.PCAP.CD,4907.927415,4843.7499,5070.099503,5359.993789,5369.498371,,5110.253796
Namibia,NAM,GDP per capita (current US$),NY.GDP.PCAP.CD,4896.61526,4546.986688,5367.114674,5588.392864,5028.295342,,5085.480966
"Iran, Islamic Rep.",IRN,GDP per capita (current US$),NY.GDP.PCAP.CD,5200.680787,5755.802448,6032.065127,4046.341864,3514.042168,,4909.786479
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4805.196852,4877.670506,4909.604664,4927.194224,4983.336114,,4900.600472
IDA & IBRD total,IBT,GDP per capita (current US$),NY.GDP.PCAP.CD,4509.589868,4493.836521,4879.042932,5110.911271,5168.837517,,4832.443622
Low & middle income,LMY,GDP per capita (current US$),NY.GDP.PCAP.CD,4366.051099,4349.147276,4718.39202,4933.697969,4993.619381,,4672.181549
Albania,ALB,GDP per capita (current US$),NY.GDP.PCAP.CD,3952.802538,4124.05539,4531.019374,5287.663694,5396.215864,,4658.351372
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,5500.310382,3880.738731,4147.089716,4739.84171,4805.753718,,4614.746851
Tonga,TON,GDP per capita (current US$),NY.GDP.PCAP.CD,4336.239603,4157.877249,4513.432531,4740.700272,4903.012138,,4530.252359
Georgia,GEO,GDP per capita (current US$),NY.GDP.PCAP.CD,4014.185944,4062.169888,4357.000936,4722.042423,4696.150586,,4370.309955
Guatemala,GTM,GDP per capita (current US$),NY.GDP.PCAP.CD,3994.636913,4173.301666,4454.04815,4478.424646,4638.634943,,4347.809264
Jordan,JOR,GDP per capita (current US$),NY.GDP.PCAP.CD,4164.108769,4175.356602,4231.51828,4308.151074,4405.487109,,4256.924367
Samoa,WSM,GDP per capita (current US$),NY.GDP.PCAP.CD,4073.729083,4109.663296,4258.978675,4187.504787,4322.868416,,4190.548851
Pacific island small states,PSS,GDP per capita (current US$),NY.GDP.PCAP.CD,3832.551181,3965.895179,4222.557375,4340.564704,4271.583766,,4126.630441
