Country Name,Country Code,2015,2016,2017,2018,2019
United States,USA,1.82E+13,1.87E+13,1.95E+13,2.05E+13,2.14E+13
China,CHN,1.11E+13,1.12E+13,1.23E+13,1.39E+13,1.43E+13
Japan,JPN,4.44E+12,5.00E+12,4.93E+12,5.04E+12,5.12E+12
Germany,DEU,3.36E+12,3.47E+12,3.69E+12,3.98E+12,3.89E+12
France,FRA,2.44E+12,2.47E+12,2.60E+12,2.79E+12,2.73E+12
Palau,PLW,280457700,298300000,285300000,284700000,274200000
Marshall Islands,MHL,183814300,201510900,213204100,221588900,239462200
Kiribati,KIR,170291002,178509814.1,188192060.1,196230573.8,177935349.3
Nauru,NRU,86529661.37,99723394.96,109359680.2,124021393.7,118724073.8
Tuvalu,TUV,36811659.53,41629497.47,45217657.88,47818290.5,54223149.11
